ID,nest,year,firstFound,lastPresent,lastChecked,fate,ageDay1,site,rat5,rat6,rat7,rat8,rat9,rat10,mouse5,mouse6,mouse7,mouse8,mouse9,mouse10,habitat,orientation,proximate_village,elevation,nest_width,nest_height,nest_lenght,chamber,substrate,walls,vegetation_cover,curved_entrance,predated,predator
228,125,2009,2,9,10,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,595,24,116,20,69,yes,rock,no,0,0,0,unpred
228,126,2009,2,21,21,0,-13,Estrada,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.2,road,S,170,130,36,24,38,yes,rock,yes,40,0,0,unpred
228,128,2009,2,2,3,1,-12,Estrada,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.2,road,S,170,87,26,25,29,yes,rock,yes,40,0,1,cat
228,129,2009,3,21,21,0,-14,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,170,28,36,59,yes,soil,no,30,0,0,unpred
228,132,2009,2,11,12,1,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,174,76,23,93,yes,soil,no,30,1,1,cat
228,133,2009,3,21,21,0,-14,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,181,110,26,120,yes,soil,no,30,0,0,unpred
228,134,2009,2,2,3,1,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,175,23,14,120,no,soil,no,30,0,1,cat
228,135,2009,3,5,6,1,-14,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,176,109,45,145,yes,soil,no,20,0,1,rat
228,136,2009,3,21,21,0,-14,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,186,56,29,72,yes,soil,no,20,0,0,unpred
228,138,2009,2,9,10,1,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,166,35,22,68,yes,soil,yes,80,0,1,cat
228,140,2009,2,9,10,1,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,175,52,36,100,yes,soil,no,70,0,1,cat
228,141,2009,3,10,11,1,-14,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,179,18,19,100,yes,soil,no,60,0,1,cat
228,142,2009,3,9,10,1,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,185,46,21,46,yes,soil,yes,100,0,1,cat
